<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
US2.ADBE;D;20100818;000000;27.77000;28.27000;27.49000;28.10000
US2.ADBE;D;20100819;000000;27.99000;28.14000;27.27000;27.69000
US2.ADBE;D;20100820;000000;27.70000;28.04000;27.41000;27.92000
US2.ADBE;D;20100823;000000;28.11000;28.38000;27.63010;27.82000
US2.ADBE;D;20100824;000000;27.53000;28.06290;27.29000;27.93000
US2.ADBE;D;20100825;000000;27.59000;27.79930;27.42000;27.48000
US2.ADBE;D;20100826;000000;27.51000;27.78000;27.12000;27.38000
US2.ADBE;D;20100827;000000;27.60000;28.06000;27.02000;27.98000
US2.ADBE;D;20100830;000000;27.78000;28.10000;27.63000;27.79000
US2.ADBE;D;20100831;000000;27.73000;27.97000;27.49500;27.70000
US2.ADBE;D;20100901;000000;28.14000;28.90000;27.89000;28.85000
US2.ADBE;D;20100902;000000;29.00000;29.42000;28.86000;29.42000
US2.ADBE;D;20100903;000000;29.67000;29.91000;29.25000;29.49000
US2.ADBE;D;20100907;000000;29.48000;29.57000;29.10000;29.17000
US2.ADBE;D;20100908;000000;29.32000;29.62000;29.23000;29.31000
US2.ADBE;D;20100909;000000;31.89000;33.23000;31.30000;32.86000
US2.ADBE;D;20100910;000000;32.54000;32.64000;31.85500;32.20000
US2.ADBE;D;20100913;000000;32.29000;32.55000;31.96000;32.24000
US2.ADBE;D;20100914;000000;32.15000;32.87000;32.09000;32.47000
US2.ADBE;D;20100915;000000;32.26000;32.77000;32.15000;32.76000
US2.ADBE;D;20100916;000000;32.74000;33.13000;32.62000;32.85000
US2.ADBE;D;20100917;000000;33.13000;33.38000;32.67000;32.78000
US2.ADBE;D;20100920;000000;33.01000;33.50000;32.88000;33.10990
US2.ADBE;D;20100921;000000;33.68000;33.68000;32.84000;32.94000
US2.ADBE;D;20100922;000000;25.89000;26.85000;25.81000;26.67000
US2.ADBE;D;20100923;000000;26.58000;26.84000;26.29000;26.41000
US2.ADBE;D;20100924;000000;26.68050;26.92000;26.42000;26.87750
US2.ADBE;D;20100927;000000;26.88000;27.08010;26.63000;26.88000
US2.ADBE;D;20100928;000000;26.91000;26.92000;26.13000;26.28000
US2.ADBE;D;20100929;000000;26.26000;26.34000;26.00000;26.04000
US2.ADBE;D;20100930;000000;26.25000;26.32000;25.70000;26.15000
US2.ADBE;D;20101001;000000;26.34000;26.49000;26.15000;26.27000
US2.ADBE;D;20101004;000000;26.14000;26.39500;25.56000;25.60000
US2.ADBE;D;20101005;000000;25.79000;26.00000;25.66000;25.77000
US2.ADBE;D;20101006;000000;25.99000;26.10000;25.50000;25.73000
US2.ADBE;D;20101007;000000;25.84000;30.00000;25.45000;28.69000
US2.ADBE;D;20101008;000000;27.52000;27.65000;26.86000;26.99000
US2.ADBE;D;20101011;000000;27.06000;27.49000;26.99000;27.25000
US2.ADBE;D;20101012;000000;27.23000;27.78000;27.02000;27.66000
US2.ADBE;D;20101013;000000;27.78000;28.00000;27.53000;27.71000
US2.ADBE;D;20101014;000000;27.90000;28.00000;27.20000;27.49000
US2.ADBE;D;20101015;000000;27.57000;28.35000;27.30000;28.08000
