<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
USDRUB;0;20100122;002952;29.75650;0
USDRUB;0;20100122;003002;29.76600;0
USDRUB;0;20100122;003011;29.75550;0
USDRUB;0;20100122;003014;29.75450;0
USDRUB;0;20100122;003038;29.75650;0
USDRUB;0;20100122;003059;29.75550;0
USDRUB;0;20100122;003128;29.75650;0
USDRUB;0;20100122;003201;29.75750;0
USDRUB;0;20100122;003215;29.75650;0
USDRUB;0;20100122;003251;29.75550;0
USDRUB;0;20100122;003320;29.75450;0
USDRUB;0;20100122;003334;29.75650;0
USDRUB;0;20100122;003404;29.75450;0
USDRUB;0;20100122;003505;29.75350;0
USDRUB;0;20100122;003523;29.75250;0
USDRUB;0;20100122;003550;29.75050;0
USDRUB;0;20100122;003636;29.74950;0
USDRUB;0;20100122;003650;29.74450;0
USDRUB;0;20100122;003722;29.75050;0
USDRUB;0;20100122;003807;29.75250;0
USDRUB;0;20100122;003852;29.74850;0
USDRUB;0;20100122;003921;29.75050;0
USDRUB;0;20100122;004001;29.76200;0
USDRUB;0;20100122;004007;29.74950;0
USDRUB;0;20100122;004037;29.75050;0
USDRUB;0;20100122;004053;29.74950;0
USDRUB;0;20100122;004122;29.75050;0
USDRUB;0;20100122;004223;29.75350;0
USDRUB;0;20100122;004239;29.75250;0
USDRUB;0;20100122;004255;29.75350;0
USDRUB;0;20100122;004303;29.75250;0
USDRUB;0;20100122;004321;29.75050;0
USDRUB;0;20100122;004334;29.75250;0
USDRUB;0;20100122;004407;29.75450;0
USDRUB;0;20100122;004508;29.75550;0
USDRUB;0;20100122;004514;29.75450;0
USDRUB;0;20100122;004636;29.75550;0
USDRUB;0;20100122;004706;29.75650;0
USDRUB;0;20100122;004721;29.75350;0
USDRUB;0;20100122;004738;29.75450;0
USDRUB;0;20100122;004752;29.75650;0
USDRUB;0;20100122;004807;29.75750;0
USDRUB;0;20100122;004825;29.75550;0
USDRUB;0;20100122;004852;29.75650;0
USDRUB;0;20100122;004922;29.75950;0
USDRUB;0;20100122;005001;29.76800;0
USDRUB;0;20100122;005037;29.75850;0
USDRUB;0;20100122;005052;29.75950;0
USDRUB;0;20100122;005107;29.75850;0
USDRUB;0;20100122;005137;29.75650;0
USDRUB;0;20100122;005153;29.75850;0
USDRUB;0;20100122;005223;29.75750;0
USDRUB;0;20100122;005307;29.75850;0
USDRUB;0;20100122;005337;29.75950;0
USDRUB;0;20100122;005424;29.76150;0
USDRUB;0;20100122;005457;29.75950;0
USDRUB;0;20100122;005504;29.76150;0
USDRUB;0;20100122;005539;29.75750;0
USDRUB;0;20100122;005555;29.75850;0
USDRUB;0;20100122;005609;29.75750;0
USDRUB;0;20100122;005724;29.75850;0
USDRUB;0;20100122;005755;29.75950;0
USDRUB;0;20100122;005810;29.75750;0
USDRUB;0;20100122;005839;29.75850;0
USDRUB;0;20100122;005855;29.75950;0
USDRUB;0;20100122;005904;29.76150;0
USDRUB;0;20100122;005925;29.75950;0
USDRUB;0;20100122;005953;29.75750;0
USDRUB;0;20100122;010003;29.76900;0
USDRUB;0;20100122;010008;29.75850;0
USDRUB;0;20100122;010038;29.75750;0
USDRUB;0;20100122;010108;29.75650;0
USDRUB;0;20100122;010124;29.75850;0
USDRUB;0;20100122;010209;29.75950;0
USDRUB;0;20100122;010225;29.75850;0
USDRUB;0;20100122;010310;29.76150;0
USDRUB;0;20100122;010353;29.75950;0
USDRUB;0;20100122;010424;29.75850;0
USDRUB;0;20100122;010434;29.75950;0
USDRUB;0;20100122;010511;29.76150;0
USDRUB;0;20100122;010538;29.75750;0
USDRUB;0;20100122;010638;29.75450;0
USDRUB;0;20100122;010708;29.75550;0
USDRUB;0;20100122;010738;29.75350;0
USDRUB;0;20100122;010753;29.75450;0
USDRUB;0;20100122;010823;29.75250;0
USDRUB;0;20100122;010838;29.75450;0
USDRUB;0;20100122;010910;29.75650;0
USDRUB;0;20100122;010938;29.75750;0
USDRUB;0;20100122;011000;29.76800;0
USDRUB;0;20100122;011009;29.75550;0
USDRUB;0;20100122;011034;29.75450;0
USDRUB;0;20100122;011053;29.75650;0
