<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
KO;D;20100909;000000;58.23000;58.49000;57.81000;58.29000
KO;D;20100910;000000;58.24000;58.64000;58.00000;58.52000
KO;D;20100913;000000;58.48000;58.50000;57.79000;58.03000
KO;D;20100914;000000;58.02000;58.12000;57.55000;57.59000
KO;D;20100915;000000;57.35000;57.60000;57.22000;57.42000
KO;D;20100916;000000;57.41000;57.68000;57.25000;57.51000
KO;D;20100917;000000;57.65000;57.98000;57.41090;57.56000
KO;D;20100920;000000;57.60000;58.00000;57.55000;57.97000
KO;D;20100921;000000;57.81000;58.20000;57.65000;58.11000
KO;D;20100922;000000;58.15000;58.52000;58.10000;58.23000
KO;D;20100923;000000;58.02000;58.29000;57.72000;57.87000
KO;D;20100924;000000;58.27000;58.80000;58.23000;58.62000
KO;D;20100927;000000;58.75000;58.86000;58.55000;58.60000
KO;D;20100928;000000;58.59000;59.23000;58.36000;59.10000
KO;D;20100929;000000;58.83000;59.00000;58.41500;58.76000
KO;D;20100930;000000;58.86000;59.15880;58.25000;58.52000
KO;D;20101001;000000;59.03000;59.24000;58.52000;59.12000
KO;D;20101004;000000;58.98000;59.04000;58.55000;58.88000
KO;D;20101005;000000;59.15000;59.72000;59.05000;59.66000
KO;D;20101006;000000;59.64000;59.81000;59.36000;59.80000
KO;D;20101007;000000;59.67000;59.68000;59.20000;59.44000
KO;D;20101008;000000;59.43000;59.70000;59.06000;59.41000
KO;D;20101011;000000;59.38000;59.62000;59.33000;59.56000
KO;D;20101012;000000;59.71000;59.80000;59.41000;59.60000
KO;D;20101013;000000;59.72000;59.97000;59.66000;59.94000
KO;D;20101014;000000;59.95000;59.98000;59.68000;59.91000
KO;D;20101015;000000;59.97000;59.98000;59.74000;59.94000
KO;D;20101018;000000;59.85000;60.00000;59.80000;60.00000
KO;D;20101019;000000;59.97000;60.47000;59.83000;60.34000
KO;D;20101020;000000;60.37000;61.68000;60.37000;61.15000
KO;D;20101021;000000;61.01000;61.75000;61.01000;61.47000
KO;D;20101022;000000;61.70000;61.74000;61.43000;61.61000
KO;D;20101025;000000;61.31000;61.75000;60.99000;61.01000
KO;D;20101026;000000;60.79000;61.37000;60.77000;61.24000
KO;D;20101027;000000;61.02000;61.20000;60.30000;61.19000
KO;D;20101028;000000;61.36000;61.55960;60.88000;61.21000
KO;D;20101029;000000;61.15000;61.50000;61.03000;61.32000
KO;D;20101101;000000;61.37000;61.95000;61.22000;61.71000
KO;D;20101102;000000;61.80000;61.94000;61.78000;61.86000
KO;D;20101103;000000;61.83000;61.95000;61.28000;61.95000
KO;D;20101104;000000;61.94000;62.65000;61.90000;62.45000
KO;D;20101105;000000;62.42000;62.65000;62.00000;62.58000
KO;D;20101108;000000;62.50000;62.57000;62.30000;62.46000
KO;D;20101109;000000;62.59000;62.71000;62.35000;62.64000
KO;D;20101110;000000;62.56000;62.64000;62.30000;62.55000
KO;D;20101111;000000;62.49000;62.80000;62.36000;62.80000
KO;D;20101112;000000;62.72000;62.96000;62.39000;62.92000
KO;D;20101115;000000;62.87000;63.32500;62.82000;62.96000
KO;D;20101116;000000;62.89000;62.98000;61.82000;62.08000
KO;D;20101117;000000;62.17000;62.72000;62.09500;62.52000
KO;D;20101118;000000;62.88000;63.95000;62.86000;63.84000
KO;D;20101119;000000;63.60000;64.33000;63.55000;64.32000
KO;D;20101122;000000;64.05000;64.31000;63.58000;64.27000
KO;D;20101123;000000;63.93000;63.97000;63.28000;63.62000
KO;D;20101124;000000;63.84000;64.63000;63.83000;64.61000
KO;D;20101126;000000;64.12000;64.37000;64.00000;64.11000
KO;D;20101129;000000;63.54000;63.65000;62.87000;63.39000
KO;D;20101130;000000;62.95000;63.58000;62.92000;63.17000
KO;D;20101201;000000;63.98000;64.80000;63.83000;64.70000
KO;D;20101202;000000;64.60000;64.96500;64.51000;64.90000
KO;D;20101203;000000;64.69000;64.94000;64.48000;64.50000
