<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
USDJPY;W;20021111;000000;119.91000;120.93000;119.04000;120.48000
USDJPY;W;20021118;000000;120.98000;123.02000;120.78000;122.95000
USDJPY;W;20021125;000000;122.64000;123.15000;121.30000;122.59000
USDJPY;W;20021202;000000;123.43000;125.72000;122.10000;123.78000
USDJPY;W;20021209;000000;122.57000;123.76000;120.55000;120.55000
USDJPY;W;20021216;000000;120.56000;121.51000;120.19000;120.39000
USDJPY;W;20021223;000000;120.28000;120.82000;119.75000;119.89000
USDJPY;W;20021230;000000;119.90000;120.15000;118.28000;119.76000
USDJPY;W;20030106;000000;119.89000;120.48000;118.55000;119.20000
USDJPY;W;20030113;000000;119.25000;119.53000;117.40000;117.69000
USDJPY;W;20030120;000000;118.25000;119.20000;117.61000;117.94000
USDJPY;W;20030127;000000;117.94000;120.13000;117.48000;119.91000
USDJPY;W;20030203;000000;119.78000;120.94000;119.01000;120.22000
USDJPY;W;20030210;000000;120.38000;121.81000;120.09000;120.30000
USDJPY;W;20030217;000000;120.47000;120.87000;118.06000;118.61000
USDJPY;W;20030224;000000;118.73000;118.92000;116.78000;118.11000
USDJPY;W;20030303;000000;118.21000;118.35000;116.33000;117.05000
USDJPY;W;20030310;000000;116.67000;118.83000;116.35000;118.23000
USDJPY;W;20030317;000000;118.13000;121.92000;117.52000;121.63000
USDJPY;W;20030324;000000;121.09000;121.37000;119.43000;119.82000
USDJPY;W;20030331;000000;119.82000;120.25000;117.60000;119.94000
USDJPY;W;20030407;000000;120.35000;120.96000;119.11000;120.55000
USDJPY;W;20030414;000000;120.48000;120.90000;118.88000;119.78000
USDJPY;W;20030421;000000;119.65000;121.21000;119.30000;120.21000
USDJPY;W;20030428;000000;120.20000;120.79000;118.12000;119.09000
USDJPY;W;20030505;000000;119.00000;119.16000;115.95000;117.44000
USDJPY;W;20030512;000000;117.26000;117.58000;115.26000;116.09000
USDJPY;W;20030519;000000;115.46000;117.86000;115.02000;116.97000
USDJPY;W;20030526;000000;116.74000;119.69000;116.15000;119.34000
USDJPY;W;20030602;000000;119.58000;119.71000;117.30000;118.69000
USDJPY;W;20030609;000000;118.73000;118.86000;117.15000;117.50000
USDJPY;W;20030616;000000;117.37000;119.16000;117.13000;118.44000
USDJPY;W;20030623;000000;118.52000;120.07000;117.29000;119.59000
USDJPY;W;20030630;000000;119.60000;120.30000;117.82000;118.15000
USDJPY;W;20030707;000000;118.05000;118.77000;117.34000;117.89000
USDJPY;W;20030714;000000;117.74000;119.33000;116.62000;118.52000
USDJPY;W;20030721;000000;118.57000;119.46000;118.21000;118.87000
USDJPY;W;20030728;000000;118.95000;120.77000;118.84000;120.20000
USDJPY;W;20030804;000000;120.18000;120.69000;118.75000;119.11000
USDJPY;W;20030811;000000;119.08000;119.76000;118.15000;119.21000
USDJPY;W;20030818;000000;119.20000;119.85000;117.28000;117.59000
USDJPY;W;20030825;000000;117.56000;118.07000;116.10000;116.97000
USDJPY;W;20030901;000000;116.72000;117.32000;115.71000;116.86000
USDJPY;W;20030908;000000;116.79000;117.77000;116.04000;117.33000
USDJPY;W;20030915;000000;117.27000;117.74000;113.55000;114.02000
USDJPY;W;20030922;000000;112.55000;113.34000;110.88000;111.75000
USDJPY;W;20030929;000000;111.76000;112.15000;110.07000;110.99000
USDJPY;W;20031006;000000;111.02000;111.42000;108.22000;108.68000
USDJPY;W;20031013;000000;108.49000;110.35000;108.24000;109.39000
USDJPY;W;20031020;000000;109.05000;110.64000;108.75000;109.28000
USDJPY;W;20031027;000000;109.24000;110.29000;107.80000;110.00000
USDJPY;W;20031103;000000;109.88000;111.56000;109.02000;109.42000
USDJPY;W;20031110;000000;109.31000;109.70000;107.84000;108.41000
USDJPY;W;20031117;000000;108.30000;109.81000;107.51000;108.80000
USDJPY;W;20031124;000000;108.76000;110.10000;108.75000;109.64000
USDJPY;W;20031201;000000;109.70000;110.08000;107.51000;107.72000
USDJPY;W;20031208;000000;107.66000;108.79000;106.70000;107.93000
USDJPY;W;20031215;000000;108.33000;108.44000;107.19000;107.86000
USDJPY;W;20031222;000000;107.65000;108.03000;106.86000;107.49000
USDJPY;W;20031229;000000;107.33000;107.79000;106.63000;107.08000
USDJPY;W;20040105;000000;107.04000;108.32000;105.84000;106.84000
USDJPY;W;20040112;000000;106.61000;107.07000;105.70000;106.89000
USDJPY;W;20040119;000000;106.54000;107.98000;105.69000;106.80000
USDJPY;W;20040126;000000;106.57000;106.79000;105.43000;105.75000
USDJPY;W;20040202;000000;105.59000;106.85000;105.20000;105.53000
USDJPY;W;20040209;000000;105.61000;105.97000;105.16000;105.47000
USDJPY;W;20040216;000000;105.45000;109.38000;105.34000;109.05000
USDJPY;W;20040223;000000;108.84000;109.89000;108.02000;109.13000
USDJPY;W;20040301;000000;109.00000;112.34000;108.84000;112.08000
USDJPY;W;20040308;000000;112.06000;112.37000;110.19000;110.83000
USDJPY;W;20040315;000000;110.68000;111.12000;106.35000;106.71000
USDJPY;W;20040322;000000;106.81000;107.72000;105.50000;106.05000
USDJPY;W;20040329;000000;105.57000;106.05000;103.38000;104.53000
USDJPY;W;20040405;000000;104.54000;107.27000;104.11000;106.48000
USDJPY;W;20040412;000000;106.42000;109.31000;105.02000;107.85000
USDJPY;W;20040419;000000;107.73000;109.95000;107.57000;109.00000
USDJPY;W;20040426;000000;108.94000;111.09000;108.25000;110.55000
USDJPY;W;20040503;000000;110.41000;112.55000;108.29000;112.24000
USDJPY;W;20040510;000000;112.29000;114.95000;112.12000;114.26000
USDJPY;W;20040517;000000;114.21000;114.77000;111.72000;112.36000
USDJPY;W;20040524;000000;112.56000;113.39000;109.99000;110.24000
USDJPY;W;20040531;000000;109.60000;112.05000;109.00000;111.21000
USDJPY;W;20040607;000000;110.19000;110.64000;108.62000;110.12000
USDJPY;W;20040614;000000;110.18000;111.53000;108.52000;108.94000
USDJPY;W;20040621;000000;108.79000;109.37000;106.99000;107.60000
USDJPY;W;20040628;000000;107.59000;109.64000;107.40000;108.34000
USDJPY;W;20040705;000000;108.33000;109.62000;108.04000;108.20000
USDJPY;W;20040712;000000;107.93000;110.11000;107.52000;108.73000
USDJPY;W;20040719;000000;108.80000;110.37000;108.06000;110.23000
USDJPY;W;20040726;000000;110.12000;112.53000;109.44000;111.40000
USDJPY;W;20040802;000000;111.07000;111.95000;109.80000;110.53000
USDJPY;W;20040809;000000;110.47000;112.14000;110.09000;110.75000
USDJPY;W;20040816;000000;110.37000;111.07000;108.92000;109.14000
USDJPY;W;20040823;000000;109.16000;110.54000;108.98000;109.69000
USDJPY;W;20040830;000000;109.59000;110.76000;108.73000;110.49000
