<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDJPY;D;20010528;000000;121.12000
USDJPY;D;20010529;000000;120.12000
USDJPY;D;20010530;000000;120.37000
USDJPY;D;20010531;000000;119.16000
USDJPY;D;20010601;000000;119.23000
USDJPY;D;20010602;000000;119.30000
USDJPY;D;20010604;000000;119.29000
USDJPY;D;20010605;000000;120.33000
USDJPY;D;20010606;000000;120.33000
USDJPY;D;20010607;000000;120.19000
USDJPY;D;20010608;000000;120.98000
USDJPY;D;20010609;000000;120.92000
USDJPY;D;20010610;000000;120.92000
USDJPY;D;20010611;000000;122.03000
USDJPY;D;20010612;000000;121.73000
USDJPY;D;20010613;000000;122.06000
USDJPY;D;20010614;000000;121.39000
USDJPY;D;20010615;000000;123.14000
USDJPY;D;20010616;000000;122.98000
USDJPY;D;20010617;000000;122.98000
USDJPY;D;20010618;000000;123.35000
USDJPY;D;20010619;000000;122.94000
USDJPY;D;20010620;000000;123.76000
USDJPY;D;20010621;000000;124.60000
USDJPY;D;20010622;000000;124.48000
USDJPY;D;20010623;000000;124.55000
USDJPY;D;20010625;000000;123.98000
USDJPY;D;20010626;000000;123.84000
USDJPY;D;20010627;000000;124.43000
USDJPY;D;20010628;000000;124.67000
USDJPY;D;20010629;000000;124.77000
USDJPY;D;20010630;000000;124.64000
USDJPY;D;20010701;000000;124.64000
USDJPY;D;20010702;000000;124.38000
USDJPY;D;20010703;000000;124.40000
USDJPY;D;20010704;000000;124.52000
USDJPY;D;20010705;000000;125.80000
USDJPY;D;20010706;000000;125.92000
USDJPY;D;20010709;000000;125.47000
USDJPY;D;20010710;000000;125.40000
USDJPY;D;20010711;000000;124.35000
USDJPY;D;20010712;000000;123.92000
USDJPY;D;20010713;000000;124.95000
USDJPY;D;20010714;000000;124.99000
USDJPY;D;20010716;000000;125.37000
USDJPY;D;20010717;000000;124.97000
USDJPY;D;20010718;000000;123.85000
USDJPY;D;20010719;000000;123.38000
USDJPY;D;20010720;000000;122.86000
USDJPY;D;20010721;000000;122.97000
USDJPY;D;20010723;000000;124.45000
USDJPY;D;20010724;000000;123.87000
USDJPY;D;20010725;000000;123.64000
USDJPY;D;20010726;000000;123.60000
USDJPY;D;20010727;000000;123.45000
USDJPY;D;20010728;000000;123.56000
