<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
DJIA;60;20110111;200000;11690.80000;11699.70000;11683.77000;11698.03000;0
DJIA;60;20110111;210000;11697.96000;11701.25000;11648.65000;11651.34000;0
DJIA;60;20110111;220000;11651.41000;11667.83000;11635.48000;11665.26000;0
DJIA;60;20110111;230000;11665.41000;11679.72000;11660.27000;11671.88000;0
DJIA;60;20110112;000000;11672.64000;11672.79000;11671.81000;11671.88000;0
DJIA;60;20110112;170000;11673.62000;11733.49000;11673.62000;11728.27000;0
DJIA;60;20110112;180000;11727.96000;11759.26000;11725.01000;11754.53000;0
DJIA;60;20110112;190000;11754.72000;11777.05000;11751.92000;11768.87000;0
DJIA;60;20110112;200000;11768.72000;11782.23000;11765.43000;11765.96000;0
DJIA;60;20110112;210000;11765.84000;11768.57000;11758.84000;11767.96000;0
DJIA;60;20110112;220000;11767.89000;11768.23000;11755.70000;11762.67000;0
DJIA;60;20110112;230000;11762.36000;11762.48000;11738.56000;11755.82000;0
DJIA;60;20110113;000000;11755.74000;11755.74000;11755.29000;11755.44000;0
DJIA;60;20110113;170000;11754.45000;11757.25000;11731.86000;11741.93000;0
DJIA;60;20110113;180000;11742.53000;11744.35000;11716.57000;11736.25000;0
DJIA;60;20110113;190000;11736.48000;11751.39000;11732.73000;11735.42000;0
DJIA;60;20110113;200000;11735.27000;11746.54000;11729.44000;11736.48000;0
DJIA;60;20110113;210000;11735.12000;11736.55000;11721.64000;11727.93000;0
DJIA;60;20110113;220000;11727.85000;11729.89000;11703.18000;11709.76000;0
DJIA;60;20110113;230000;11709.91000;11731.14000;11700.53000;11730.76000;0
DJIA;60;20110114;000000;11731.22000;11731.90000;11731.22000;11731.90000;0
DJIA;60;20110114;170000;11732.13000;11733.49000;11698.83000;11725.01000;0
DJIA;60;20110114;180000;11725.47000;11755.97000;11715.14000;11747.49000;0
DJIA;60;20110114;190000;11747.34000;11761.04000;11745.07000;11751.50000;0
DJIA;60;20110114;200000;11751.69000;11770.84000;11751.24000;11762.17000;0
DJIA;60;20110114;210000;11762.10000;11786.73000;11760.02000;11782.23000;0
DJIA;60;20110114;220000;11782.12000;11794.15000;11779.58000;11782.00000;0
DJIA;60;20110114;230000;11782.31000;11791.88000;11774.32000;11785.94000;0
DJIA;60;20110115;000000;11786.01000;11787.45000;11786.01000;11787.38000;0
DJIA;60;20110118;170000;11784.12000;11821.93000;11777.99000;11814.62000;0
DJIA;60;20110118;180000;11814.66000;11849.02000;11805.99000;11832.22000;0
DJIA;60;20110118;190000;11832.37000;11858.78000;11832.37000;11851.29000;0
DJIA;60;20110118;200000;11851.37000;11853.98000;11844.14000;11849.85000;0
DJIA;60;20110118;210000;11849.89000;11855.07000;11840.01000;11843.99000;0
DJIA;60;20110118;220000;11843.61000;11854.51000;11841.91000;11849.93000;0
DJIA;60;20110118;230000;11850.00000;11854.58000;11833.73000;11837.71000;0
DJIA;60;20110119;000000;11837.10000;11839.29000;11837.10000;11837.93000;0
DJIA;60;20110119;170000;11834.89000;11860.15000;11819.98000;11840.51000;0
DJIA;60;20110119;180000;11840.66000;11861.24000;11817.69000;11835.06000;0
DJIA;60;20110119;190000;11835.13000;11846.33000;11822.64000;11836.46000;0
DJIA;60;20110119;200000;11836.61000;11841.75000;11809.55000;11821.17000;0
DJIA;60;20110119;210000;11821.09000;11843.95000;11813.22000;11839.14000;0
DJIA;60;20110119;220000;11839.37000;11841.38000;11800.39000;11814.77000;0
DJIA;60;20110119;230000;11814.62000;11825.52000;11798.46000;11825.22000;0
DJIA;60;20110120;000000;11825.75000;11826.73000;11825.07000;11825.29000;0
DJIA;60;20110120;170000;11823.70000;11823.93000;11773.75000;11815.42000;0
DJIA;60;20110120;180000;11814.28000;11829.80000;11744.77000;11747.15000;0
DJIA;60;20110120;190000;11747.79000;11783.21000;11745.86000;11782.12000;0
DJIA;60;20110120;200000;11782.19000;11813.11000;11780.56000;11809.25000;0
